Type,Label,Amount,Direction,OpenPrice,Profit/Loss in pips,OpenDate,CloseDate,Comments,A_Global (アカウントがグローバル・アカウントの場合にtrue),A_CreditLine (取引可能額。値は約5秒間隔で更新されている。),A_Currency (アカウントの通貨設定),A_Equity (純資産額。値は約5秒間隔で更新されている。),A_Leverage (レバレッジ設定),A_MarginCutLevel (マージンカットレベル。このレベルを超過するとマージンカット(ロスカット)。),A_OverWeekEndLeverage (ウィークエンド・レバレッジ・レベル。このレベルを超過するとマージンカット(ロスカット)。),A_UseOfLeverage (証拠金使用率。値は約5秒間隔で更新されている。),A_Balance
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_151,0.01,SELL,92.97,0.0,,,2010/01/01 00:00:00 000 RSI : 76.43648901903924 >> 75.63724565794821,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_151,0.01,SELL,92.97,0.0,,2010/01/01 00:30:00 000,2010/01/01 00:00:00 000 RSI : 76.43648901903924 >> 75.63724565794821,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_320,0.01,SELL,93.08,0.0,,,2010/01/01 00:30:00 000 RSI : 78.88727145162218 >> 78.09238890550793,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_320,0.01,SELL,93.08,0.0,,2010/01/01 01:00:00 000,2010/01/01 00:30:00 000 RSI : 78.88727145162218 >> 78.09238890550793,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_329,0.01,SELL,93.085,0.0,,,2010/01/01 01:00:00 000 RSI : 78.99476663660727 >> 78.14195450560368,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_329,0.01,SELL,93.085,0.0,,2010/01/01 01:30:00 000,2010/01/01 01:00:00 000 RSI : 78.99476663660727 >> 78.14195450560368,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_455,0.01,SELL,93.09,0.0,,,2010/01/01 01:30:00 000 RSI : 79.1087232608485 >> 78.65767945722129,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_455,0.01,SELL,93.09,0.0,,2010/01/01 02:00:00 000,2010/01/01 01:30:00 000 RSI : 79.1087232608485 >> 78.65767945722129,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_469,0.01,SELL,93.1,0.0,,,2010/01/01 02:00:00 000 RSI : 79.35872282978738 >> 78.86743999173936,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_469,0.01,SELL,93.1,0.0,,2010/01/01 02:30:00 000,2010/01/01 02:00:00 000 RSI : 79.35872282978738 >> 78.86743999173936,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_650,0.01,SELL,93.14,0.0,,,2010/01/01 02:30:00 000 RSI : 80.33686020323663 >> 79.82677045423175,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_650,0.01,SELL,93.14,0.0,,2010/01/01 03:00:00 000,2010/01/01 02:30:00 000 RSI : 80.33686020323663 >> 79.82677045423175,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_665,0.01,SELL,93.11,0.0,,,2010/01/01 03:00:00 000 RSI : 77.3731839666252 >> 76.86383535981236,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010319_665,0.01,SELL,93.11,0.0,,2010/01/01 03:30:00 000,2010/01/01 03:00:00 000 RSI : 77.3731839666252 >> 76.86383535981236,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010319_864,0.01,SELL,93.095,0.0,,,2010/01/01 03:30:00 000 RSI : 75.86596098147258 >> 75.86423274559148,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_FILL_OK (注文が約定した後に送られます),Sell_20111107_010319_864,0.01,SELL,93.095,-2.0,2010/01/01 04:00:00 000,,2010/01/01 03:30:00 000 RSI : 75.86596098147258 >> 75.86423274559148,false,5000000.0,JPY,50000.0,100.0,200,80,0.0,50000.0
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Sell_20111107_010319_864,0.01,SELL,93.094,-0.1,2010/01/01 04:00:00 000,,2010/01/01 03:30:00 000 RSI : 75.86596098147258 >> 75.86423274559148,false,4064582.0,JPY,49955.32,100.0,200,80,18.64,49955.32
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Sell_20111107_010319_864,0.01,SELL,93.094,17.4,2010/01/01 04:00:00 000,2010/01/01 06:29:59 999,2010/01/01 03:30:00 000 RSI : 75.86596098147258 >> 75.86423274559148,false,4063592.0,JPY,49945.32,100.0,200,80,18.64,49955.32
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111107_010325_749,0.01,SELL,93.125,0.0,,,2010/01/07 21:00:00 000 RSI : 73.48428102516121 >> 72.78972030291504,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111107_010325_749,0.01,SELL,93.125,0.0,,2010/01/07 21:30:00 000,2010/01/07 21:00:00 000 RSI : 73.48428102516121 >> 72.78972030291504,false,5165065.0,JPY,51650.65,100.0,200,80,0.0,51650.65
