Type,Label,Amount,Direction,OpenPrice,Profit/Loss in pips,OpenDate,CloseDate,Comments,A_Global (アカウントがグローバル・アカウントの場合にtrue),A_CreditLine (取引可能額。値は約5秒間隔で更新されている。),A_Currency (アカウントの通貨設定),A_Equity (純資産額。値は約5秒間隔で更新されている。),A_Leverage (レバレッジ設定),A_MarginCutLevel (マージンカットレベル。このレベルを超過するとマージンカット(ロスカット)。),A_OverWeekEndLeverage (ウィークエンド・レバレッジ・レベル。このレベルを超過するとマージンカット(ロスカット)。),A_UseOfLeverage (証拠金使用率。値は約5秒間隔で更新されている。),A_Balance
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111211_041548_052,0.01,SELL,92.97,0.0,,,2010/01/01 00:00:00 000 RSI : 76.43648901903924,false,1.0E7,JPY,100000.0,100.0,200,80,0.0,100000.0
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111211_041548_052,0.01,SELL,92.97,0.0,,2010/01/01 00:30:00 000,2010/01/01 00:00:00 000 RSI : 76.43648901903924,false,1.0E7,JPY,100000.0,100.0,200,80,0.0,100000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111211_041549_979,0.01,BUY,92.36,0.0,,,2010/01/05 00:30:00 000 RSI : 29.674347636728456,false,1.0E7,JPY,100000.0,100.0,200,80,0.0,100000.0
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111211_041549_979,0.01,BUY,92.36,-2.0,2010/01/05 01:00:00 000,,2010/01/05 00:30:00 000 RSI : 29.674347636728456,false,1.0E7,JPY,100000.0,100.0,200,80,0.0,100000.0
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Buy_20111211_041549_979,0.01,BUY,92.36,15.5,2010/01/05 01:00:00 000,2010/01/05 01:29:59 999,2010/01/05 00:30:00 000 RSI : 29.674347636728456,false,9051967.0,JPY,99755.67,100.0,200,80,9.26,100000.0
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111211_041550_582,0.01,BUY,92.17,0.0,,,2010/01/05 12:00:00 000 RSI : 28.048252217566528,false,1.0146112E7,JPY,101461.12,100.0,200,80,0.0,101461.12
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111211_041550_582,0.01,BUY,92.17,-2.0,2010/01/05 12:30:00 000,,2010/01/05 12:00:00 000 RSI : 28.048252217566528,false,1.0146112E7,JPY,101461.12,100.0,200,80,0.0,101461.12
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111211_041550_582,0.01,BUY,92.1706,-50.6,2010/01/05 12:30:00 000,,2010/01/05 12:00:00 000 RSI : 28.048252217566528,false,8715012.0,JPY,96367.12,100.0,200,80,9.56,101417.12
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Buy_20111211_041550_582,0.01,BUY,92.1706,8.9,2010/01/05 12:30:00 000,2010/01/06 18:29:59 999,2010/01/05 12:00:00 000 RSI : 28.048252217566528,false,9109406.0,JPY,100311.12,100.0,200,80,9.19,101417.12
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111211_041552_933,0.01,SELL,92.995,0.0,,,2010/01/07 20:30:00 000 RSI : 70.03903536975606,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111211_041552_933,0.01,SELL,92.995,0.0,,2010/01/07 21:00:00 000,2010/01/07 20:30:00 000 RSI : 70.03903536975606,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Sell_20111211_041553_275,0.01,SELL,93.705,0.0,,,2010/01/08 07:00:00 000 RSI : 74.95468575426672,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_FILL_REJECTED (注文の約定がサーバ側で拒否された場合に送られます),Sell_20111211_041553_275,0.01,SELL,93.705,0.0,,2010/01/08 07:30:00 000,2010/01/08 07:00:00 000 RSI : 74.95468575426672,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111211_041553_787,0.01,BUY,92.39,0.0,,,2010/01/08 22:30:00 000 RSI : 27.154797265483268,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111211_041553_787,0.01,BUY,92.39,-2.0,2010/01/08 23:00:00 000,,2010/01/08 22:30:00 000 RSI : 27.154797265483268,false,1.0226678E7,JPY,102266.78,100.0,200,80,0.0,102266.78
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Buy_20111211_041553_787,0.01,BUY,92.39,14.0,2010/01/08 23:00:00 000,2010/01/08 23:29:59 999,2010/01/08 22:30:00 000 RSI : 27.154797265483268,false,9278344.0,JPY,102022.44,100.0,200,80,9.06,102266.78
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111211_041555_678,0.01,BUY,91.35,0.0,,,2010/01/12 22:30:00 000 RSI : 29.908671921674234,false,1.0357787E7,JPY,103577.87,100.0,200,80,0.0,103577.87
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111211_041555_678,0.01,BUY,91.35,-2.0,2010/01/12 23:00:00 000,,2010/01/12 22:30:00 000 RSI : 29.908671921674234,false,1.0357787E7,JPY,103577.87,100.0,200,80,0.0,103577.87
ORDER_CHANGED_OK (注文の変更が完了した後に送られます),Buy_20111211_041555_678,0.01,BUY,91.3506,-41.1,2010/01/12 23:00:00 000,,2010/01/12 22:30:00 000 RSI : 29.908671921674234,false,9029921.0,JPY,99434.21,100.0,200,80,9.19,103534.21
ORDER_CLOSE_OK (注文の決済が完了した後に送られます),Buy_20111211_041555_678,0.01,BUY,91.3506,7.9,2010/01/12 23:00:00 000,2010/01/13 17:59:59 999,2010/01/12 22:30:00 000 RSI : 29.908671921674234,false,9339315.0,JPY,102528.21,100.0,200,80,8.91,103534.21
ORDER_SUBMIT_OK (注文がサーバ側で受け付けた後に送られます),Buy_20111211_041557_120,0.01,BUY,90.93,0.0,,,2010/01/15 03:00:00 000 RSI : 27.75032785637413,false,1.0428432E7,JPY,104284.32,100.0,200,80,0.0,104284.32
ORDER_FILL_OK (注文が約定した後に送られます),Buy_20111211_041557_120,0.01,BUY,90.93,-2.0,2010/01/15 03:30:00 000,,2010/01/15 03:00:00 000 RSI : 27.75032785637413,false,1.0428432E7,JPY,104284.32,100.0,200,80,0.0,104284.32
