TIME	RATE	RSI
2010/09/21 00:00:00 000	85.715	50.52327737992638
2010/09/21 00:30:00 000	85.755	56.00452856758791
2010/09/21 01:00:00 000	85.71	49.37714694508089
2010/09/21 01:30:00 000	85.775	57.247066282455336
2010/09/21 02:00:00 000	85.79	58.83740275345244
2010/09/21 02:30:00 000	85.79	58.83740275345244
2010/09/21 03:00:00 000	85.775	56.40406245377457
2010/09/21 03:30:00 000	85.77	55.57893131713604
2010/09/21 04:00:00 000	85.775	56.26789707212871
2010/09/21 04:30:00 000	85.76	53.58291784133948
2010/09/21 05:00:00 000	85.71	45.74674705419393
2010/09/21 05:30:00 000	85.7	44.34978773859572
2010/09/21 06:00:00 000	85.715	46.965890296012645
2010/09/21 06:30:00 000	85.695	43.99610155761404
2010/09/21 07:00:00 000	85.74	51.436856316161276
2010/09/21 07:30:00 000	85.725	49.09531301547569
2010/09/21 08:00:00 000	85.755	53.64078064038998
2010/09/21 08:30:00 000	85.73	49.66116492114953
2010/09/21 09:00:00 000	85.705	45.98694387625116
2010/09/21 09:30:00 000	85.665	40.787253265352206
2010/09/21 10:00:00 000	85.655	39.5823041209031
2010/09/21 10:30:00 000	85.62	35.616360597060186
2010/09/21 11:00:00 000	85.6	33.54785434620409
2010/09/21 11:30:00 000	85.55	29.011543331417926
2010/09/21 12:00:00 000	85.56	31.020510003111724
2010/09/21 12:30:00 000	85.595	37.66926006962612
2010/09/21 13:00:00 000	85.57	35.06909324359877
2010/09/21 13:30:00 000	85.55	33.10063965198874
2010/09/21 14:00:00 000	85.59	40.316225578015704
2010/09/21 14:30:00 000	85.58	39.17853917359389
2010/09/21 15:00:00 000	85.57	38.02302816771983
2010/09/21 15:30:00 000	85.35	22.38270372230977
2010/09/21 16:00:00 000	85.39	28.168165249965956
2010/09/21 16:30:00 000	85.44	34.7185113201334
2010/09/21 17:00:00 000	85.385	31.333686841417375
2010/09/21 17:30:00 000	85.375	30.74674350436359
2010/09/21 18:00:00 000	85.575	50.65530321228678
2010/09/21 18:30:00 000	85.585	51.40748652344688
2010/09/21 19:00:00 000	85.48	43.84926659077381
2010/09/21 19:30:00 000	85.47	43.197862034233424
2010/09/21 20:00:00 000	85.465	42.85505854115476
2010/09/21 20:30:00 000	85.405	38.86892832680785
2010/09/21 21:00:00 000	85.405	38.86892832680785
2010/09/21 21:30:00 000	85.37	36.56783218180713
2010/09/21 22:00:00 000	85.355	35.59523728032603
2010/09/21 22:30:00 000	85.32	33.365316229260685
2010/09/21 23:00:00 000	85.33	34.625467923013126
2010/09/21 23:30:00 000	85.345	36.563399028920344
2010/09/22 00:00:00 000	85.38	40.961135535575174
2010/09/22 00:30:00 000	85.4	43.376766569914714
2010/09/22 01:00:00 000	85.35	39.07259519684984
2010/09/22 01:30:00 000	85.385	43.31292059237445
2010/09/22 02:00:00 000	85.37	41.96494790829536
2010/09/22 02:30:00 000	85.33	38.5220333807201
2010/09/22 03:00:00 000	85.185	29.17712996595804
2010/09/22 03:30:00 000	85.105	25.5014539529513
2010/09/22 04:00:00 000	85.13	28.53146518215538
2010/09/22 04:30:00 000	85.1	27.1067133201657
2010/09/22 05:00:00 000	85.06	25.293115809201993
2010/09/22 05:30:00 000	85.095	29.72374490689731
2010/09/22 06:00:00 000	85.115	32.19827175659284
2010/09/22 06:30:00 000	85.165	38.0693008783898
2010/09/22 07:00:00 000	85.185	40.29629676646624
2010/09/22 07:30:00 000	85.13	36.417952680786996
2010/09/22 08:00:00 000	85.045	31.389777923669516
2010/09/22 08:30:00 000	84.995	28.864861705860278
2010/09/22 09:00:00 000	84.895	24.60274861830153
2010/09/22 09:30:00 000	84.835	22.45977301286263
2010/09/22 10:00:00 000	84.87	26.4819879568248
2010/09/22 10:30:00 000	84.93	32.90712774470616
2010/09/22 11:00:00 000	84.955	35.43880815513792
2010/09/22 11:30:00 000	84.955	35.43855182150105
2010/09/22 12:00:00 000	84.87	30.848123678248314
2010/09/22 12:30:00 000	84.885	32.509219555020934
2010/09/22 13:00:00 000	84.85	30.65829079436448
2010/09/22 13:30:00 000	84.865	32.433343317037924
2010/09/22 14:00:00 000	84.95	41.5628650204362
2010/09/22 14:30:00 000	84.9	38.28545314857913
2010/09/22 15:00:00 000	84.935	41.752522991403254
2010/09/22 15:30:00 000	84.86	36.96527367297915
2010/09/22 16:00:00 000	84.765	31.96770633650235
2010/09/22 16:30:00 000	84.84	38.983270700755874
2010/09/22 17:00:00 000	84.87	41.57788130114049
2010/09/22 17:30:00 000	84.8	37.562342442669014
2010/09/22 18:00:00 000	84.67	31.483122767906302
2010/09/22 18:30:00 000	84.655	30.8628068807457
2010/09/22 19:00:00 000	84.645	30.431645455966784
2010/09/22 19:30:00 000	84.59	28.1079616581141
2010/09/22 20:00:00 000	84.615	30.699165447242766
2010/09/22 20:30:00 000	84.66	35.224006308837694
2010/09/22 21:00:00 000	84.685	37.65690619620847
2010/09/22 21:30:00 000	84.61	33.58007249427546
2010/09/22 22:00:00 000	84.53	29.864289727533116
2010/09/22 22:30:00 000	84.505	28.793108419385216
2010/09/22 23:00:00 000	84.475	27.516992287132165
2010/09/22 23:30:00 000	84.49	29.207849688939103
